,Person,Hospital
0,钱秋芳,上海市儿童医院
1,郭一峰,上海交通大学医学院附属新华医院
2,张建中,国家远程与互联网医学中心皮肤科专委会
2,张建中,北京大学人民医院
2,张建中,新疆维吾尔自治区人民医院
2,张建中,广州中心皇冠假日酒店
2,张建中,香港大学深圳医院
2,张建中,人民医院
3,孟如松,空军总医院皮肤病医院
3,孟如松,中国皮肤影像中心
3,孟如松,解放军空军总医院皮肤病医院
3,孟如松,中国人民解放军空军总医院
3,孟如松,空军总医院
3,孟如松,中国人民解放军空军特色医学中心
3,孟如松,山东省千佛山医院
4,陈向军,复旦大学附属华山医院
4,陈向军,京大学第二，子附属华山医院
5,卜碧涛,附属同济医院
5,卜碧涛,华中科技大学同济医学院附属同济医院
6,薛群,苏州大学附属第一医院
7,张鹏,北京宣武医院
7,张鹏,同济大学附属上海市肺科医院
8,李佑祥,北京天坛医院
9,王涛,北京大学第三医院
9,王涛,复旦大学附属中山医院
9,王涛,兴安盟人民医院
9,王涛,南京鼓楼医院
9,王涛,惠型原科大学天七医院
9,王涛,南京大学医学院附属鼓楼医院
10,何川,首都医科大学宣武医院
10,何川,宣武医院
11,赵瑞,上海长海医院
12,胡学斌,武汉协和医院
13,高旭,沈阳军区总医院
14,何旭英,珠江医院
15,段炼,北京解放军三〇七医院
16,肖群根,武汉同济医院
17,潘力,中部战区总医院
18,冷冰,上海复旦大学附属华山医院
19,万杰清,上海仁济医院
20,熊志勇,武汉协和医院
21,叶明,北京宣武医院
22,赵沃华,武汉协和医院
23,周佩洋,襄阳市第一人民医院
24,吕明,北京天坛医院
25,黄清海,上海长海医院
25,黄清海,解放军总医院
26,冯军,武汉协和医院
27,万跃,中山医院
27,万跃,附属肿瘤医院
27,万跃,重庆大学附属肿瘤医院
28,吴震,北京天坛医院
28,吴震,空军军医大学唐都医院
29,李强,上海长海医院
29,李强,上海交通大学附属第一人民医院
30,张翔,上海第十人民医院
31,汪雷,宜昌市中心医院
32,刘昌亚,湖北省中医院
33,陈雪丽,北京老年医院
34,陈书达,浙江省人民医院
35,韩忠,中南大学湘雅二医院
36,王云,武昌区民主路武警医院
37,刘维达,中国医学科学院皮肤病研究所
37,刘维达,中国医学科学院皮肤病医院
37,刘维达,重庆医科大学附属第三医院
37,刘维达,真菌保藏中心专业团队
37,刘维达,中国医学科学院皮肤病研究所真菌科
38,刘业强,上海市皮肤病医院
38,刘业强,海市皮肤病医院
38,刘业强,上海市皮肤医院
39,陈奇勋,中国科学院大学附属肿瘤医院
39,陈奇勋,浙江大学医学院附属第二医院
39,陈奇勋,浙江省肿瘤医院
40,马海涛,苏州大学附属第一医院
40,马海涛,附属第一医院
41,谭黎杰,南京大学医学院附属鼓楼医院
41,谭黎杰,复旦大学附属中山医院
42,陈嘉,江苏省肿瘤医院
43,樊志强,中山大学附属第七医院
44,缪中荣,首都医科大学附属北京天坛医院
44,缪中荣,首医附属北京天坛医院
44,缪中荣,北京天坛医院
45,李东升,武汉市第一医院
46,柏金森,2018瑞金医院
46,柏金森,物柏金森医学中心
47,翟晓波,上海东方医院
47,翟晓波,医院药学部
47,翟晓波,同济大学附属东方医院
48,许英霞,北京天坛医院
49,刘亮,天津医科大学附属肿瘤医院
50,刘晓峰,武汉市第一医院
51,孙耀辉,湖北省武汉大学中南医院
51,孙耀辉,湖北省中南医院
52,彭晓艳,湖北省人民医院
53,蒋婷,武汉八大处整形外科医院
54,朱聚,武汉市中心医院
55,王婷,武汉市第一医院
55,王婷,云南省第一人民医院
55,王婷,第四军医大学西京医院
55,王婷,山东第一医科大学附属皮肤病医院
56,吴站蓉,北京小汤山医院
57,唐伟,大连大学附属新华医院
57,唐伟,唐伟大连大学附属新华医院
57,唐伟,大连大学附居新华医院
57,唐伟,大连新华医院
57,唐伟,中山大学附属第三医院
58,李学记,中国医学科学院肿瘤医院
58,李学记,中国医学科学院肿瘤，医院
59,陈钢钢,山西医科大学第一医院
60,高天文,第四军医大学西京皮肤医院
60,高天文,空军军医大学西京医院
60,高天文,西京医院
61,徐小方,浙江省肿瘤医院
61,徐小方,中国科学院大学附属肿瘤医院
62,信涛,中山大学肿瘤医院
62,信涛,哈尔滨医科大学附属第二医院
63,张兰军,附属第二医院
63,张兰军,中山大学肿瘤医院
63,张兰军,中山大学附属肿瘤医院
64,刘志刚,南昌大学第二附属医院
64,刘志刚,中山大学附属第五医院
65,李恒进,中国人民解放军总医院
65,李恒进,解放军总医院
65,李恒进,北京和医院
65,李恒进,昆明医科大学第一附属医院
65,李恒进,中国人民解放军总医院海南医院
66,赵性泉,北京天坛医院
66,赵性泉,首都医科大学附属北京天坛医院
66,赵性泉,首都医科大学附属天坛医院
66,赵性泉,神经病学中心
67,张拥波,北京友谊医院
67,张拥波,首都医科大学附属北京友谊医院
68,戚晓昆,解放军总医院
68,戚晓昆,海军总医院
69,李子孝,北京天坛医院
69,李子孝,国家会议中心
70,冀瑞俊,北京天坛医院
70,冀瑞俊,附属北京天坛医院
71,万新华,北京协和医院
72,潘宏铭,浙江大学医学院附属邵逸夫医院
73,王万卷,西安交通大学第二附属医院
74,郑焱,西安交通大学第二附属医院
75,郑敏,浙江大学医学院附属第二医院
75,郑敏,浙江大学附属第二医院
75,郑敏,附属第二医院
76,肖生祥,西安交通大学第二附属医院
77,赵邑,清华长庚医院
77,赵邑,北京清华长庚医院
77,赵邑,连市皮肤病医院
77,赵邑,清华大学附属北京清华长庚医院
78,徐远志,上海市第一人民医院
79,张艳玲,邢台市人民医院
80,武辉宇,大庆人民医院
81,魏立,河南省人民医院
82,务森,河南省人民医院
83,梁乃新,北京协和医院
84,李基伟,河南省人民医院
85,王建军,河南省人民医院
86,耿明飞,安阳肿瘤医院
87,傅于捷,附属仁济医院
88,曹智理,北京协和医院
89,刘恺鸣,浙江医科大学第二附属医院
90,赵红如,苏州大学附属第一医院
91,陈彪,首都医科大学宣武医院
91,陈彪,北京脑重大疾病研究院帕金森病研究所
92,陆凌怡,宁波市第一医院
93,马月龙,上海市皮肤病医院
94,王雷,王雷第四军医大学西京皮肤医院
94,王雷,空军军医大学西京皮肤医院
95,郭人花,江苏省人民医院
96,葛小林,江苏省人民医院
97,高雯,江苏省人民医院
98,于建斌,郑州大学第一附属医院
98,于建斌,郑州大学第一医院
99,张龙凤,福建省肿瘤医院
100,姜丽岩,上海交通大学附属胸科医院
101,林根,福建省肿瘤医院
102,陈立颖,重庆新桥医院
103,陈芳琳,重庆新桥医院
104,王雄飞,首都医科大学三博脑科医院
